Selected Gene,Overlapping Gene,Overlapping Strand,Overlapping Gene name,Overlapping Gene start (bp),Overlapping Gene end (bp),Selected Strand,Selected Gene name,Selected Gene start (bp),Selected Gene end (bp),overlap type
ENSG00000123191,ENSG00000253710,1,ALG11,52012391,52079232,-1,ATP7B,51930436,52012125,2.0
ENSG00000285444,ENSG00000281106,-1,TMEM272,51813347,51845177,-1,,51763951,51845159,3.0
ENSG00000283208,ENSG00000102805,1,CLN5,76990660,77019143,1,,76992078,77129589,6.0
ENSG00000283208,ENSG00000005812,-1,FBXL3,76992598,77027195,1,,76992078,77129589,4.0
ENSG00000005812,ENSG00000283208,1,,76992078,77129589,-1,FBXL3,76992598,77027195,4.0
ENSG00000288716,ENSG00000005810,-1,MYCBP2,77042474,77327094,-1,,77326905,77326988,3.0
ENSG00000188243,ENSG00000118939,1,UCHL3,75549483,75606020,-1,COMMD6,75525214,75549439,2.0
ENSG00000136114,ENSG00000136100,-1,VPS36,52412602,52450634,-1,THSD1,52377167,52416373,6.0
ENSG00000139517,ENSG00000186184,1,POLR1D,27620742,27744237,-1,LNX2,27545913,27620529,2.0
ENSG00000186184,ENSG00000139517,-1,LNX2,27545913,27620529,1,POLR1D,27620742,27744237,2.0
ENSG00000174405,ENSG00000139826,1,ABHD13,108218392,108234243,-1,LIG4,108207439,108218368,2.0
ENSG00000136169,ENSG00000102547,-1,CAB39L,49308650,49444064,1,SETDB2,49444274,49495003,2.0
ENSG00000165480,ENSG00000173141,1,MRPL57,21176658,21179084,-1,SKA3,21153595,21176552,2.0
ENSG00000173141,ENSG00000165480,-1,SKA3,21153595,21176552,1,MRPL57,21176658,21179084,2.0
ENSG00000120697,ENSG00000120699,1,EXOSC8,36998816,37025881,-1,ALG5,36949738,37000763,5.0
ENSG00000120699,ENSG00000120697,-1,ALG5,36949738,37000763,1,EXOSC8,36998816,37025881,5.0
ENSG00000151773,ENSG00000179630,1,LACC1,43879284,43893932,-1,CCDC122,43823909,43879740,2.0
ENSG00000281883,ENSG00000179630,1,LACC1,43879284,43893932,1,,43883800,44028526,6.0
ENSG00000179630,ENSG00000151773,-1,CCDC122,43823909,43879740,1,LACC1,43879284,43893932,2.0
ENSG00000150401,ENSG00000150403,1,TMCO3,113491021,113554590,-1,DCUN1D2,113455819,113490951,2.0
ENSG00000150403,ENSG00000150401,-1,DCUN1D2,113455819,113490951,1,TMCO3,113491021,113554590,2.0
ENSG00000123200,ENSG00000080618,-1,CPB2,46053186,46105033,-1,ZC3H13,45954465,46052759,1.0
ENSG00000005810,ENSG00000288716,-1,,77326905,77326988,-1,MYCBP2,77042474,77327094,3.0
ENSG00000253710,ENSG00000123191,-1,ATP7B,51930436,52012125,1,ALG11,52012391,52079232,2.0
ENSG00000173988,ENSG00000136167,-1,LCP1,46125920,46211871,1,LRRC63,46211928,46277115,2.0
ENSG00000280165,ENSG00000197991,-1,,61409858,61427849,-1,PCDH20,61409685,61415849,6.0
ENSG00000126226,ENSG00000139842,1,CUL4A,113208193,113267108,-1,PCID2,113177536,113208715,2.0
ENSG00000139842,ENSG00000126226,-1,PCID2,113177536,113208715,1,CUL4A,113208193,113267108,2.0
ENSG00000083635,ENSG00000133114,1,GPALPP1,44989529,45037669,-1,NUFIP1,44939249,44989471,2.0
ENSG00000133114,ENSG00000083635,-1,NUFIP1,44939249,44989471,1,GPALPP1,44989529,45037669,2.0
ENSG00000180332,ENSG00000188342,1,GTF2F2,45120510,45284893,-1,KCTD4,45192853,45201045,5.0
ENSG00000120669,ENSG00000250709,-1,CCDC169-SOHLH2,36168794,36297842,-1,SOHLH2,36168217,36214588,6.0
ENSG00000242715,ENSG00000250709,-1,CCDC169-SOHLH2,36168794,36297842,-1,CCDC169,36222008,36297840,3.0
ENSG00000250709,ENSG00000242715,-1,CCDC169,36222008,36297840,-1,CCDC169-SOHLH2,36168794,36297842,3.0
ENSG00000180660,ENSG00000172915,1,NBEA,34942270,35673022,-1,MAB21L1,35473419,35478764,5.0
ENSG00000153487,ENSG00000134905,-1,CARS2,110641412,110713603,1,ING1,110712736,110723339,2.0
ENSG00000139618,ENSG00000189167,-1,ZAR1L,32303699,32315363,1,BRCA2,32315086,32400268,2.0
ENSG00000118939,ENSG00000188243,-1,COMMD6,75525214,75549439,1,UCHL3,75549483,75606020,2.0
ENSG00000243927,ENSG00000198743,1,SLC5A3,34073578,34106260,1,MRPS6,34073224,34143034,3.0
ENSG00000198743,ENSG00000243927,1,MRPS6,34073224,34143034,1,SLC5A3,34073578,34106260,3.0
ENSG00000159259,ENSG00000159256,1,MORC3,36320189,36386148,1,CHAF1B,36385392,36419015,1.0
ENSG00000222018,ENSG00000205670,1,SMIM11,34375480,34416961,-1,C21orf140,34400112,34401072,5.0
ENSG00000205726,ENSG00000205758,-1,CRYZL1,33589341,33643926,1,ITSN1,33642400,33899861,5.0
ENSG00000205726,ENSG00000249209,-1,,33584687,33931607,1,ITSN1,33642400,33899861,5.0
ENSG00000159147,ENSG00000205758,-1,CRYZL1,33589341,33643926,-1,DONSON,33559542,33588706,1.0
ENSG00000159147,ENSG00000249209,-1,,33584687,33931607,-1,DONSON,33559542,33588706,6.0
ENSG00000241837,ENSG00000249209,-1,,33584687,33931607,-1,ATP5PO,33903453,33915814,6.0
ENSG00000205758,ENSG00000249209,-1,,33584687,33931607,-1,CRYZL1,33589341,33643926,6.0
ENSG00000205758,ENSG00000205726,1,ITSN1,33642400,33899861,-1,CRYZL1,33589341,33643926,5.0
ENSG00000288593,ENSG00000160216,1,AGPAT3,43865223,43987592,1,,43939919,43959673,6.0
ENSG00000159228,ENSG00000185917,-1,SETD4,36034541,36079389,1,CBR1,36069941,36073166,5.0
ENSG00000166979,ENSG00000265590,-1,CFAP298-TCP10L,32402511,32612865,1,EVA1C,32412006,32515397,5.0
ENSG00000159079,ENSG00000265590,-1,CFAP298-TCP10L,32402511,32612865,-1,CFAP298,32592079,32612603,3.0
ENSG00000242220,ENSG00000265590,-1,CFAP298-TCP10L,32402511,32612865,-1,TCP10L,32497967,32587373,6.0
ENSG00000265590,ENSG00000159079,-1,CFAP298,32592079,32612603,-1,CFAP298-TCP10L,32402511,32612865,3.0
ENSG00000160208,ENSG00000160207,-1,HSF2BP,43529186,43659488,1,RRP1B,43659560,43696079,2.0
ENSG00000234289,ENSG00000160207,-1,HSF2BP,43529186,43659488,1,H2BC12L,43565182,43565648,5.0
ENSG00000241945,ENSG00000160218,1,TRAPPC10,44012309,44106552,1,PWP2,44107373,44131181,1.0
ENSG00000160193,ENSG00000160194,1,NDUFV3,42879644,42913304,-1,WDR4,42843094,42879568,2.0
ENSG00000160194,ENSG00000160193,-1,WDR4,42843094,42879568,1,NDUFV3,42879644,42913304,2.0
ENSG00000154727,ENSG00000154723,-1,ATP5PF,25716503,25735673,1,GABPA,25734570,25772460,5.0
ENSG00000185808,ENSG00000182670,1,TTC3,37073226,37203112,-1,PIGP,37062846,37073170,2.0
ENSG00000183527,ENSG00000185658,-1,BRWD1,39184176,39321559,-1,PSMG1,39174769,39183488,1.0
ENSG00000285815,ENSG00000182093,1,GET1,39377698,39428528,1,GET1-SH3BGR,39380332,39515506,6.0
ENSG00000160188,ENSG00000160190,1,SLC37A1,42496008,42581440,-1,RSPH1,42472486,42496246,2.0
ENSG00000160190,ENSG00000160188,-1,RSPH1,42472486,42496246,1,SLC37A1,42496008,42581440,2.0
ENSG00000160207,ENSG00000160208,1,RRP1B,43659560,43696079,-1,HSF2BP,43529186,43659488,2.0
ENSG00000215455,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-1,44538981,44540195,6.0
ENSG00000205445,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-2,44550357,44551505,6.0
ENSG00000212935,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-3,44557790,44558795,6.0
ENSG00000241123,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-5,44579455,44580604,6.0
ENSG00000188155,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP10-6,44591268,44592505,6.0
ENSG00000272804,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-7,44600597,44602174,5.0
ENSG00000187766,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-8,44612079,44612954,5.0
ENSG00000221859,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-10,44637356,44638455,5.0
ENSG00000243489,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-11,44646414,44647650,5.0
ENSG00000212933,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP12-4,44654213,44654659,6.0
ENSG00000205439,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP12-3,44657932,44658341,5.0
ENSG00000221864,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP12-2,44666189,44666927,6.0
ENSG00000187175,ENSG00000175894,-1,TSPEAR,44497893,44711572,-1,KRTAP12-1,44681576,44682163,6.0
ENSG00000221837,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-9,44627093,44628378,5.0
ENSG00000215454,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-4,44573729,44575371,5.0
ENSG00000189169,ENSG00000175894,-1,TSPEAR,44497893,44711572,1,KRTAP10-12,44697172,44698044,5.0
ENSG00000157578,ENSG00000285815,1,GET1-SH3BGR,39380332,39515506,-1,LCA5L,39405728,39445805,5.0
ENSG00000157578,ENSG00000185437,1,SH3BGR,39445855,39515506,-1,LCA5L,39405728,39445805,2.0
ENSG00000185437,ENSG00000285815,1,GET1-SH3BGR,39380332,39515506,1,SH3BGR,39445855,39515506,6.0
ENSG00000185437,ENSG00000157578,-1,LCA5L,39405728,39445805,1,SH3BGR,39445855,39515506,2.0
ENSG00000154723,ENSG00000154727,1,GABPA,25734570,25772460,-1,ATP5PF,25716503,25735673,5.0
ENSG00000180509,ENSG00000288711,-1,,34511122,34614913,-1,KCNE1,34446688,34512214,6.0
ENSG00000180509,ENSG00000159200,-1,RCAN1,34513142,34615113,-1,KCNE1,34446688,34512214,1.0
ENSG00000159200,ENSG00000288711,-1,,34511122,34614913,-1,RCAN1,34513142,34615113,3.0
ENSG00000288711,ENSG00000159200,-1,RCAN1,34513142,34615113,-1,,34511122,34614913,3.0
ENSG00000160294,ENSG00000182362,1,YBEY,46286342,46297751,-1,MCM3AP,46235133,46286297,2.0
ENSG00000182362,ENSG00000160294,-1,MCM3AP,46235133,46286297,1,YBEY,46286342,46297751,2.0
ENSG00000160298,ENSG00000160299,1,PCNT,46324124,46445769,-1,C21orf58,46300181,46323875,2.0
ENSG00000286224,ENSG00000160299,1,PCNT,46324124,46445769,1,,46326288,46326491,6.0
ENSG00000159131,ENSG00000159140,1,SON,33543038,33577481,-1,GART,33503931,33543491,2.0
ENSG00000142188,ENSG00000159128,1,IFNGR2,33403413,33479348,-1,TMEM50B,33432485,33479974,5.0
ENSG00000243646,ENSG00000159110,1,IFNAR2,33205282,33265675,1,IL10RB,33266367,33311420,1.0
ENSG00000243646,ENSG00000249624,1,IFNAR2-IL10RB,33229892,33297160,1,IL10RB,33266367,33311420,6.0
ENSG00000249624,ENSG00000159110,1,IFNAR2,33205282,33265675,1,IFNAR2-IL10RB,33229892,33297160,6.0
ENSG00000182670,ENSG00000185808,-1,PIGP,37062846,37073170,1,TTC3,37073226,37203112,2.0
ENSG00000160299,ENSG00000160298,-1,C21orf58,46300181,46323875,1,PCNT,46324124,46445769,2.0
ENSG00000159140,ENSG00000159131,-1,GART,33503931,33543491,1,SON,33543038,33577481,2.0
ENSG00000091164,ENSG00000091157,1,WDR7,56651343,57029811,-1,TXNL1,56597209,56651600,2.0
ENSG00000141665,ENSG00000075336,1,TIMM21,74148523,74160531,-1,FBXO15,74073353,74147843,2.0
ENSG00000134779,ENSG00000150477,1,KIAA1328,36829106,37232172,-1,TPGS2,36777647,36829216,2.0
ENSG00000166479,ENSG00000150636,1,CCDC102B,68715209,69055189,-1,TMX3,68673688,68715108,2.0
ENSG00000141424,ENSG00000134759,1,ELP2,36129444,36180557,-1,SLC39A6,36108531,36129385,2.0
ENSG00000134759,ENSG00000141424,-1,SLC39A6,36108531,36129385,1,ELP2,36129444,36180557,2.0
ENSG00000197563,ENSG00000134444,1,RELCH,62187255,62310249,-1,PIGN,61905255,62187118,2.0
ENSG00000150477,ENSG00000134779,-1,TPGS2,36777647,36829216,1,KIAA1328,36829106,37232172,2.0
ENSG00000078043,ENSG00000167216,1,KATNAL2,46917492,47103478,-1,PIAS2,46803218,46920160,5.0
ENSG00000206181,ENSG00000167216,1,KATNAL2,46917492,47103478,-1,ELOA2,47032527,47035621,5.0
ENSG00000167220,ENSG00000267228,-1,,47108188,47176345,-1,HDHD2,47107408,47150500,6.0
ENSG00000134049,ENSG00000267228,-1,,47108188,47176345,-1,IER3IP1,47152834,47176364,3.0
ENSG00000267228,ENSG00000134049,-1,IER3IP1,47152834,47176364,-1,,47108188,47176345,3.0
ENSG00000215472,ENSG00000265681,-1,RPL17,49488453,49492508,-1,RPL17-C18orf32,49481681,49492479,3.0
ENSG00000134444,ENSG00000197563,-1,PIGN,61905255,62187118,1,RELCH,62187255,62310249,2.0
ENSG00000177576,ENSG00000215472,-1,RPL17-C18orf32,49481681,49492479,-1,C18orf32,49477243,49487252,6.0
ENSG00000265681,ENSG00000215472,-1,RPL17-C18orf32,49481681,49492479,-1,RPL17,49488453,49492508,3.0
ENSG00000158201,ENSG00000101752,1,MIB1,21704957,21870953,-1,ABHD3,21650901,21704780,2.0
ENSG00000177150,ENSG00000101654,1,RNMT,13726660,13764556,-1,FAM210A,13663347,13726663,2.0
ENSG00000101654,ENSG00000177150,-1,FAM210A,13663347,13726663,1,RNMT,13726660,13764556,2.0
ENSG00000150636,ENSG00000166479,-1,TMX3,68673688,68715108,1,CCDC102B,68715209,69055189,2.0
ENSG00000141434,ENSG00000141441,-1,GAREM1,32124877,32470882,1,MEP1B,32185069,32220404,5.0
ENSG00000057149,ENSG00000206072,1,SERPINB11,63647579,63726432,-1,SERPINB3,63655197,63661893,5.0
ENSG00000075336,ENSG00000141665,-1,FBXO15,74073353,74147843,1,TIMM21,74148523,74160531,2.0
ENSG00000141759,ENSG00000267127,1,,80034346,80097088,-1,TXNL4A,79970813,80033949,2.0
ENSG00000141759,ENSG00000101546,1,RBFA,80034389,80050651,-1,TXNL4A,79970813,80033949,2.0
ENSG00000101546,ENSG00000267127,1,,80034346,80097088,1,RBFA,80034389,80050651,3.0
ENSG00000101546,ENSG00000141759,-1,TXNL4A,79970813,80033949,1,RBFA,80034389,80050651,2.0
ENSG00000267127,ENSG00000101546,1,RBFA,80034389,80050651,1,,80034346,80097088,3.0
ENSG00000267127,ENSG00000141759,-1,TXNL4A,79970813,80033949,1,,80034346,80097088,2.0
ENSG00000141642,ENSG00000267699,1,,50968019,51058144,1,ELAC1,50967991,50988121,3.0
ENSG00000141646,ENSG00000267699,1,,50968019,51058144,1,SMAD4,51028528,51085045,6.0
ENSG00000267699,ENSG00000141642,1,ELAC1,50967991,50988121,1,,50968019,51058144,3.0
ENSG00000101574,ENSG00000080986,1,NDC80,2571557,2616635,-1,METTL4,2537525,2571509,2.0
ENSG00000080986,ENSG00000101574,-1,METTL4,2537525,2571509,1,NDC80,2571557,2616635,2.0
ENSG00000091157,ENSG00000091164,-1,TXNL1,56597209,56651600,1,WDR7,56651343,57029811,2.0
ENSG00000167216,ENSG00000078043,-1,PIAS2,46803218,46920160,1,KATNAL2,46917492,47103478,5.0
ENSG00000166845,ENSG00000174448,-1,STARD6,54324358,54357964,1,C18orf54,54357906,54385218,2.0
ENSG00000174448,ENSG00000166845,1,C18orf54,54357906,54385218,-1,STARD6,54324358,54357964,2.0
ENSG00000134278,ENSG00000128789,1,PSMG2,12658043,12728945,-1,SPIRE1,12446512,12658107,2.0
ENSG00000101624,ENSG00000128789,1,PSMG2,12658043,12728945,-1,CEP76,12661833,12702777,5.0
ENSG00000101752,ENSG00000158201,-1,ABHD3,21650901,21704780,1,MIB1,21704957,21870953,2.0
ENSG00000197046,ENSG00000152223,-1,EPG5,45800581,45967329,1,SIGLEC15,45825675,45844094,5.0
ENSG00000152234,ENSG00000152240,1,HAUS1,46104378,46128333,-1,ATP5F1A,46080248,46104334,2.0
ENSG00000152240,ENSG00000152234,-1,ATP5F1A,46080248,46104334,1,HAUS1,46104378,46128333,2.0
ENSG00000166401,ENSG00000221887,1,HMSD,63949301,63981774,1,SERPINB8,63970029,64019779,6.0
ENSG00000167315,ENSG00000266997,-1,,49795793,49837623,-1,ACAA2,49782164,49813953,6.0
ENSG00000266997,ENSG00000167306,-1,MYO5B,49822789,50195164,-1,,49795793,49837623,6.0
ENSG00000172361,ENSG00000141644,-1,MBD1,50266882,50281774,-1,CFAP53,50227193,50266495,1.0
ENSG00000128789,ENSG00000134278,-1,SPIRE1,12446512,12658107,1,PSMG2,12658043,12728945,2.0
ENSG00000289724,ENSG00000197632,1,SERPINB2,63871692,63903888,1,,63897174,63917490,6.0
ENSG00000242550,ENSG00000289724,1,,63897174,63917490,1,SERPINB10,63907958,63936111,6.0
ENSG00000255112,ENSG00000141404,1,GNAL,11689264,11885685,1,CHMP1B,11851413,11854444,6.0
ENSG00000141644,ENSG00000154832,-1,CXXC1,50282343,50287839,-1,MBD1,50266882,50281774,1.0
ENSG00000267140,ENSG00000153391,-1,INO80C,35452230,35497979,-1,,35443871,35497940,3.0
ENSG00000153391,ENSG00000267140,-1,,35443871,35497940,-1,INO80C,35452230,35497979,3.0
ENSG00000260861,ENSG00000101307,-1,SIRPB1,1561385,1620061,-1,,1540144,1620009,3.0
ENSG00000284776,ENSG00000232388,1,SMIM26,18567347,18569563,1,,18567453,18744216,3.0
ENSG00000125864,ENSG00000125868,1,DSTN,17570075,17609919,-1,BFSP1,17493905,17569220,2.0
ENSG00000125868,ENSG00000125864,-1,BFSP1,17493905,17569220,1,DSTN,17570075,17609919,2.0
ENSG00000215397,ENSG00000270299,-1,,646626,675800,-1,SCRT2,661596,675802,3.0
ENSG00000271303,ENSG00000270299,-1,,646626,675800,-1,SRXN1,646615,653200,6.0
ENSG00000270299,ENSG00000215397,-1,SCRT2,661596,675802,-1,,646626,675800,3.0
ENSG00000180205,ENSG00000180305,1,WFDC10A,45629739,45631196,-1,WFDC9,45607939,45631284,5.0
ENSG00000180305,ENSG00000180205,-1,WFDC9,45607939,45631284,1,WFDC10A,45629739,45631196,5.0
ENSG00000089101,ENSG00000101343,-1,CRNKL1,20034368,20056046,1,CFAP61,20052514,20360703,5.0
ENSG00000132825,ENSG00000196227,1,FAM217B,59933764,59948680,-1,PPP1R3D,59936663,59940305,5.0
ENSG00000196074,ENSG00000196227,1,FAM217B,59933764,59948680,-1,SYCP2,59863564,59933655,2.0
ENSG00000101182,ENSG00000184402,1,SS18L1,62143769,62182514,-1,PSMA7,62136733,62143440,2.0
ENSG00000101181,ENSG00000184402,1,SS18L1,62143769,62182514,1,MTG2,62183028,62203568,1.0
ENSG00000101193,ENSG00000101191,-1,DIDO1,62877738,62937952,1,GID8,62938147,62948475,2.0
ENSG00000203883,ENSG00000171703,1,TCEA2,64049836,64072347,-1,SOX18,64047582,64049639,2.0
ENSG00000184402,ENSG00000101182,-1,PSMA7,62136733,62143440,1,SS18L1,62143769,62182514,2.0
ENSG00000171703,ENSG00000203883,-1,SOX18,64047582,64049639,1,TCEA2,64049836,64072347,2.0
ENSG00000196227,ENSG00000196074,-1,SYCP2,59863564,59933655,1,FAM217B,59933764,59948680,2.0
ENSG00000124232,ENSG00000124159,-1,MATN4,45293445,45308529,1,RBPJL,45306840,45317824,5.0
ENSG00000254806,ENSG00000204070,1,SYS1,45361937,45376798,1,SYS1-DBNDD2,45363200,45410610,6.0
ENSG00000124251,ENSG00000254806,1,SYS1-DBNDD2,45363200,45410610,-1,TP53TG5,45372557,45407889,5.0
ENSG00000124251,ENSG00000244274,1,DBNDD2,45406057,45410610,-1,TP53TG5,45372557,45407889,5.0
ENSG00000244274,ENSG00000254806,1,SYS1-DBNDD2,45363200,45410610,1,DBNDD2,45406057,45410610,6.0
ENSG00000244274,ENSG00000124251,-1,TP53TG5,45372557,45407889,1,DBNDD2,45406057,45410610,5.0
ENSG00000254995,ENSG00000124222,1,STX16,58651272,58679526,1,STX16-NPEPL1,58651434,58715410,3.0
ENSG00000215440,ENSG00000254995,1,STX16-NPEPL1,58651434,58715410,1,NPEPL1,58689131,58719238,6.0
ENSG00000124222,ENSG00000254995,1,STX16-NPEPL1,58651434,58715410,1,STX16,58651272,58679526,3.0
ENSG00000124172,ENSG00000101166,-1,PRELID3B,59033145,59042809,-1,ATP5F1E,59025475,59032345,1.0
ENSG00000125965,ENSG00000126001,1,CEP250,35455164,35519280,-1,GDF5,35433347,35454746,2.0
ENSG00000272897,ENSG00000244005,-1,NFS1,35668052,35699355,-1,,35632340,35674544,6.0
ENSG00000125995,ENSG00000244005,-1,NFS1,35668052,35699355,1,ROMO1,35699272,35700984,2.0
ENSG00000244462,ENSG00000272897,-1,,35632340,35674544,-1,RBM12,35648925,35664956,6.0
ENSG00000244462,ENSG00000214078,-1,CPNE1,35626031,35664956,-1,RBM12,35648925,35664956,3.0
ENSG00000214078,ENSG00000272897,-1,,35632340,35674544,-1,CPNE1,35626031,35664956,6.0
ENSG00000214078,ENSG00000244462,-1,RBM12,35648925,35664956,-1,CPNE1,35626031,35664956,3.0
ENSG00000124193,ENSG00000288000,1,,43458054,43541881,1,SRSF6,43457893,43466046,3.0
ENSG00000277611,ENSG00000288000,1,,43458054,43541881,1,,43540171,43569498,6.0
ENSG00000277611,ENSG00000185513,1,L3MBTL1,43489442,43550954,1,,43540171,43569498,6.0
ENSG00000185513,ENSG00000288000,1,,43458054,43541881,1,L3MBTL1,43489442,43550954,6.0
ENSG00000101307,ENSG00000260861,-1,,1540144,1620009,-1,SIRPB1,1561385,1620061,3.0
ENSG00000125900,ENSG00000260861,-1,,1540144,1620009,-1,SIRPD,1534251,1557705,6.0
ENSG00000125821,ENSG00000284776,1,,18567453,18744216,1,DTD1,18587942,18766644,6.0
ENSG00000232388,ENSG00000284776,1,,18567453,18744216,1,SMIM26,18567347,18569563,3.0
ENSG00000101198,ENSG00000101199,1,ARFGAP1,63272785,63289790,-1,NKAIN4,63240784,63272694,2.0
ENSG00000101199,ENSG00000101198,-1,NKAIN4,63240784,63272694,1,ARFGAP1,63272785,63289790,2.0
