Selected Gene,Overlapping Gene,Overlapping Strand,Overlapping Gene name,Overlapping Transcript start (bp),Overlapping Transcript end (bp),Overlapping TSS,Selected Strand,Selected Gene name,Selected Transcript start (bp),Selected Transcript end (bp),Selected TSS,overlap type
ENSG00000134897,ENSG00000134901,-1,POGLUT2,102784281,102798976,102798976,1,BIVM,102799119,102841533,102799119,2.0
ENSG00000169508,ENSG00000134882,1,UBAC2,99200854,99386504,99200854,-1,GPR183,99294539,99307399,99307399,5.0
ENSG00000125245,ENSG00000134882,1,UBAC2,99200854,99386504,99200854,-1,GPR18,99254739,99258379,99258379,5.0
ENSG00000139679,ENSG00000139687,1,RB1,48303751,48481890,48303751,-1,LPAR6,48411138,48413113,48413113,5.0
ENSG00000253797,ENSG00000253710,1,ALG11,52012398,52033600,52012398,1,UTP14C,52024691,52033600,52024691,6.0
ENSG00000123191,ENSG00000253710,1,ALG11,52012398,52033600,52012398,-1,ATP7B,51932669,52011450,52011450,2.0
ENSG00000288716,ENSG00000005810,-1,MYCBP2,77044657,77327094,77327094,-1,,77326905,77326988,77326988,3.0
ENSG00000136169,ENSG00000102547,-1,CAB39L,49308650,49444064,49444064,1,SETDB2,49444274,49495003,49444274,2.0
ENSG00000165480,ENSG00000173141,1,MRPL57,21176658,21179084,21176658,-1,SKA3,21153595,21176552,21176552,2.0
ENSG00000173141,ENSG00000165480,-1,SKA3,21153595,21176552,21176552,1,MRPL57,21176658,21179084,21176658,2.0
ENSG00000151773,ENSG00000179630,1,LACC1,43879904,43893932,43879904,-1,CCDC122,43836352,43879740,43879740,2.0
ENSG00000179630,ENSG00000151773,-1,CCDC122,43836352,43879740,43879740,1,LACC1,43879904,43893932,43879904,2.0
ENSG00000150401,ENSG00000150403,1,TMCO3,113491021,113550229,113491021,-1,DCUN1D2,113455819,113490711,113490711,2.0
ENSG00000150403,ENSG00000150401,-1,DCUN1D2,113455819,113490711,113490711,1,TMCO3,113491021,113550229,113491021,2.0
ENSG00000123200,ENSG00000080618,-1,CPB2,46053186,46105033,46105033,-1,ZC3H13,45954465,46052746,46052746,1.0
ENSG00000005810,ENSG00000288716,-1,,77326905,77326988,77326988,-1,MYCBP2,77044657,77327094,77327094,3.0
ENSG00000253710,ENSG00000123191,-1,ATP7B,51932669,52011450,52011450,1,ALG11,52012398,52033600,52012398,2.0
ENSG00000126226,ENSG00000139842,1,CUL4A,113209613,113267108,113209613,-1,PCID2,113177536,113208669,113208669,2.0
ENSG00000139842,ENSG00000126226,-1,PCID2,113177536,113208669,113208669,1,CUL4A,113209613,113267108,113209613,2.0
ENSG00000134901,ENSG00000134897,1,BIVM,102799119,102841533,102799119,-1,POGLUT2,102784281,102798976,102798976,2.0
ENSG00000083635,ENSG00000133114,1,GPALPP1,44989538,45030305,44989538,-1,NUFIP1,44939249,44989471,44989471,2.0
ENSG00000133114,ENSG00000083635,-1,NUFIP1,44939249,44989471,44989471,1,GPALPP1,44989538,45030305,44989538,2.0
ENSG00000180332,ENSG00000188342,1,GTF2F2,45120510,45284893,45120510,-1,KCTD4,45192853,45201045,45201045,5.0
ENSG00000180660,ENSG00000172915,1,NBEA,34942270,35672736,34942270,-1,MAB21L1,35473789,35476689,35476689,5.0
ENSG00000139618,ENSG00000189167,-1,ZAR1L,32303699,32315363,32315363,1,BRCA2,32315508,32400268,32315508,2.0
ENSG00000243927,ENSG00000198743,1,SLC5A3,34073578,34106260,34073578,1,MRPS6,34073578,34143030,34073578,3.0
ENSG00000198743,ENSG00000243927,1,MRPS6,34073578,34143030,34073578,1,SLC5A3,34073578,34106260,34073578,3.0
ENSG00000205726,ENSG00000205758,-1,CRYZL1,33589341,33641741,33641741,1,ITSN1,33642501,33899861,33642501,2.0
ENSG00000159147,ENSG00000205758,-1,CRYZL1,33589341,33641741,33641741,-1,DONSON,33577551,33588684,33588684,1.0
ENSG00000205758,ENSG00000205726,1,ITSN1,33642501,33899861,33642501,-1,CRYZL1,33589341,33641741,33641741,2.0
ENSG00000160208,ENSG00000160207,-1,HSF2BP,43529186,43659488,43659488,1,RRP1B,43659560,43696079,43659560,2.0
ENSG00000234289,ENSG00000160207,-1,HSF2BP,43529186,43659488,43659488,1,H2BC12L,43565182,43565648,43565182,5.0
ENSG00000241945,ENSG00000160218,1,TRAPPC10,44012309,44106552,44012309,1,PWP2,44107399,44131181,44107399,1.0
ENSG00000154727,ENSG00000154723,-1,ATP5PF,25724500,25734904,25734904,1,GABPA,25734972,25772460,25734972,2.0
ENSG00000185808,ENSG00000182670,1,TTC3,37073254,37203107,37073254,-1,PIGP,37065374,37073071,37073071,2.0
ENSG00000160207,ENSG00000160208,1,RRP1B,43659560,43696079,43659560,-1,HSF2BP,43529186,43659488,43659488,2.0
ENSG00000215455,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,-1,KRTAP10-1,44538981,44540195,44540195,6.0
ENSG00000205445,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,-1,KRTAP10-2,44550357,44551505,44551505,6.0
ENSG00000212935,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,-1,KRTAP10-3,44557790,44558795,44558795,6.0
ENSG00000241123,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,-1,KRTAP10-5,44579455,44580604,44580604,6.0
ENSG00000188155,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,-1,KRTAP10-6,44591268,44592505,44592505,6.0
ENSG00000272804,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,1,KRTAP10-7,44600597,44602174,44600597,5.0
ENSG00000187766,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,1,KRTAP10-8,44612079,44612954,44612079,5.0
ENSG00000221859,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,1,KRTAP10-10,44637356,44638455,44637356,5.0
ENSG00000243489,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,1,KRTAP10-11,44646414,44647650,44646414,5.0
ENSG00000212933,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,-1,KRTAP12-4,44654213,44654659,44654659,6.0
ENSG00000205439,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,1,KRTAP12-3,44657932,44658341,44657932,5.0
ENSG00000221864,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,-1,KRTAP12-2,44666189,44666927,44666927,6.0
ENSG00000187175,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,-1,KRTAP12-1,44681576,44682163,44682163,6.0
ENSG00000221837,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,1,KRTAP10-9,44627093,44628378,44627093,5.0
ENSG00000215454,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,1,KRTAP10-4,44573729,44575371,44573729,5.0
ENSG00000189169,ENSG00000175894,-1,TSPEAR,44497893,44711572,44711572,1,KRTAP10-12,44697172,44698044,44697172,5.0
ENSG00000154723,ENSG00000154727,1,GABPA,25734972,25772460,25734972,-1,ATP5PF,25724500,25734904,25734904,2.0
ENSG00000160294,ENSG00000182362,1,YBEY,46286342,46297751,46286342,-1,MCM3AP,46235133,46285611,46285611,2.0
ENSG00000182362,ENSG00000160294,-1,MCM3AP,46235133,46285611,46285611,1,YBEY,46286342,46297751,46286342,2.0
ENSG00000160298,ENSG00000160299,1,PCNT,46324156,46445769,46324156,-1,C21orf58,46301130,46323870,46323870,2.0
ENSG00000286224,ENSG00000160299,1,PCNT,46324156,46445769,46324156,1,,46326288,46326491,46326288,6.0
ENSG00000159131,ENSG00000159140,1,SON,33543038,33577481,33543038,-1,GART,33503933,33542117,33542117,2.0
ENSG00000243646,ENSG00000159110,1,IFNAR2,33229938,33265664,33229938,1,IL10RB,33266367,33297221,33266367,1.0
ENSG00000182670,ENSG00000185808,-1,PIGP,37065374,37073071,37073071,1,TTC3,37073254,37203107,37073254,2.0
ENSG00000160299,ENSG00000160298,-1,C21orf58,46301130,46323870,46323870,1,PCNT,46324156,46445769,46324156,2.0
ENSG00000159140,ENSG00000159131,-1,GART,33503933,33542117,33542117,1,SON,33543038,33577481,33543038,2.0
ENSG00000141665,ENSG00000075336,1,TIMM21,74148523,74160531,74148523,-1,FBXO15,74073368,74147834,74147834,2.0
ENSG00000134779,ENSG00000150477,1,KIAA1328,36829127,37225334,36829127,-1,TPGS2,36794108,36829002,36829002,2.0
ENSG00000141424,ENSG00000134759,1,ELP2,36129899,36180557,36129899,-1,SLC39A6,36108531,36129340,36129340,2.0
ENSG00000134759,ENSG00000141424,-1,SLC39A6,36108531,36129340,36129340,1,ELP2,36129899,36180557,36129899,2.0
ENSG00000197563,ENSG00000134444,1,RELCH,62187255,62310249,62187255,-1,PIGN,62041164,62187056,62187056,2.0
ENSG00000150477,ENSG00000134779,-1,TPGS2,36794108,36829002,36829002,1,KIAA1328,36829127,37225334,36829127,2.0
ENSG00000078043,ENSG00000167216,1,KATNAL2,46917602,47102243,46917602,-1,PIAS2,46803218,46917507,46917507,2.0
ENSG00000206181,ENSG00000167216,1,KATNAL2,46917602,47102243,46917602,-1,ELOA2,47032527,47035621,47035621,5.0
ENSG00000134444,ENSG00000197563,-1,PIGN,62041164,62187056,62187056,1,RELCH,62187255,62310249,62187255,2.0
ENSG00000177150,ENSG00000101654,1,RNMT,13726673,13764556,13726673,-1,FAM210A,13663347,13726558,13726558,2.0
ENSG00000101654,ENSG00000177150,-1,FAM210A,13663347,13726558,13726558,1,RNMT,13726673,13764556,13726673,2.0
ENSG00000075336,ENSG00000141665,-1,FBXO15,74073368,74147834,74147834,1,TIMM21,74148523,74160531,74148523,2.0
ENSG00000101574,ENSG00000080986,1,NDC80,2571557,2616635,2571557,-1,METTL4,2537530,2571505,2571505,2.0
ENSG00000080986,ENSG00000101574,-1,METTL4,2537530,2571505,2571505,1,NDC80,2571557,2616635,2571557,2.0
ENSG00000167216,ENSG00000078043,-1,PIAS2,46803218,46917507,46917507,1,KATNAL2,46917602,47102243,46917602,2.0
ENSG00000166845,ENSG00000174448,-1,STARD6,54324492,54357858,54357858,1,C18orf54,54357906,54382034,54357906,2.0
ENSG00000174448,ENSG00000166845,1,C18orf54,54357906,54382034,54357906,-1,STARD6,54324492,54357858,54357858,2.0
ENSG00000101624,ENSG00000128789,1,PSMG2,12703042,12725740,12703042,-1,CEP76,12672625,12702723,12702723,2.0
ENSG00000128789,ENSG00000101624,-1,CEP76,12672625,12702723,12702723,1,PSMG2,12703042,12725740,12703042,2.0
ENSG00000255112,ENSG00000141404,1,GNAL,11689264,11885685,11689264,1,CHMP1B,11851413,11854444,11851413,6.0
ENSG00000141644,ENSG00000154832,-1,CXXC1,50282347,50287692,50287692,-1,MBD1,50268846,50281523,50281523,1.0
ENSG00000180205,ENSG00000180305,1,WFDC10A,45629739,45631196,45629739,-1,WFDC9,45607939,45631284,45631284,5.0
ENSG00000180305,ENSG00000180205,-1,WFDC9,45607939,45631284,45631284,1,WFDC10A,45629739,45631196,45629739,5.0
ENSG00000089101,ENSG00000101343,-1,CRNKL1,20034368,20052466,20052466,1,CFAP61,20052532,20360698,20052532,2.0
ENSG00000132825,ENSG00000196227,1,FAM217B,59940389,59948680,59940389,-1,PPP1R3D,59936663,59940305,59940305,2.0
ENSG00000101182,ENSG00000184402,1,SS18L1,62143769,62182514,62143769,-1,PSMA7,62136733,62143394,62143394,2.0
ENSG00000101181,ENSG00000184402,1,SS18L1,62143769,62182514,62143769,1,MTG2,62183028,62203568,62183028,1.0
ENSG00000184402,ENSG00000101182,-1,PSMA7,62136733,62143394,62143394,1,SS18L1,62143769,62182514,62143769,2.0
ENSG00000196227,ENSG00000132825,-1,PPP1R3D,59936663,59940305,59940305,1,FAM217B,59940389,59948680,59940389,2.0
ENSG00000124232,ENSG00000124159,-1,MATN4,45293450,45308299,45308299,1,RBPJL,45306840,45317824,45306840,5.0
ENSG00000124172,ENSG00000101166,-1,PRELID3B,59033145,59042786,59042786,-1,ATP5F1E,59025475,59032335,59032335,1.0
ENSG00000244462,ENSG00000214078,-1,CPNE1,35626044,35664900,35664900,-1,RBM12,35648925,35664900,35664900,3.0
ENSG00000285723,ENSG00000125863,-1,MKKS,10401009,10434222,10434222,-1,MKKS,10420546,10420737,10420737,6.0
ENSG00000126003,ENSG00000101346,1,POFUT1,32207880,32238658,32207880,-1,PLAGL2,32192504,32207743,32207743,2.0
ENSG00000126005,ENSG00000242372,-1,EIF6,35278918,35284772,35284772,-1,MMP24OS,35276352,35278122,35278122,1.0
ENSG00000125901,ENSG00000125787,1,GNRH2,3043622,3045747,3043622,1,MRPS26,3046052,3048250,3046052,1.0
ENSG00000185019,ENSG00000215251,-1,FASTKD5,3146519,3159865,3159865,-1,UBOX5,3107573,3159865,3159865,3.0
ENSG00000125871,ENSG00000089006,-1,SNX5,17941600,17968794,17968794,1,MGME1,17969018,17991122,17969018,2.0
ENSG00000232838,ENSG00000149474,1,KAT14,18137863,18188035,18137863,1,PET117,18137863,18143169,18137863,3.0
ENSG00000132801,ENSG00000101473,-1,ACOT8,45841721,45857392,45857392,1,ZSWIM3,45857614,45879122,45857614,2.0
ENSG00000149609,ENSG00000125967,-1,NECAB3,33657087,33674428,33674428,1,C20orf144,33662327,33663908,33662327,5.0
ENSG00000288649,ENSG00000125967,-1,NECAB3,33657087,33674428,33674428,1,ACTL10,33666943,33668525,33666943,5.0
ENSG00000242372,ENSG00000125998,-1,FAM83C,35285731,35292425,35292425,-1,EIF6,35278918,35284772,35284772,1.0
ENSG00000089006,ENSG00000125871,1,MGME1,17969018,17991122,17969018,-1,SNX5,17941600,17968794,17968794,2.0
ENSG00000244005,ENSG00000125995,1,ROMO1,35699405,35700980,35699405,-1,NFS1,35668052,35699352,35699352,2.0
ENSG00000125995,ENSG00000244005,-1,NFS1,35668052,35699352,35699352,1,ROMO1,35699405,35700980,35699405,2.0
ENSG00000214078,ENSG00000244462,-1,RBM12,35648925,35664900,35664900,-1,CPNE1,35626044,35664900,35664900,3.0
ENSG00000124116,ENSG00000101457,1,DNTTIP1,45791954,45811418,45791954,-1,WFDC3,45774213,45791883,45791883,2.0
ENSG00000101457,ENSG00000124116,-1,WFDC3,45774213,45791883,45791883,1,DNTTIP1,45791954,45811418,45791954,2.0
ENSG00000087586,ENSG00000101138,1,CSTF1,56392645,56406362,56392645,-1,AURKA,56369390,56392215,56392215,2.0
ENSG00000101138,ENSG00000087586,-1,AURKA,56369390,56392215,56392215,1,CSTF1,56392645,56406362,56392645,2.0
ENSG00000101247,ENSG00000089048,-1,ESF1,13714325,13784919,13784919,1,NDUFAF5,13785028,13821580,13785028,2.0
ENSG00000124217,ENSG00000000419,-1,DPM1,50934870,50958532,50958532,1,MOCS3,50958818,50963929,50958818,2.0
ENSG00000101343,ENSG00000089101,1,CFAP61,20052532,20360698,20052532,-1,CRNKL1,20034368,20052466,20052466,2.0
ENSG00000124257,ENSG00000064601,1,CTSA,45891335,45898820,45891335,-1,NEURL2,45888634,45891208,45891208,2.0
ENSG00000089048,ENSG00000101247,1,NDUFAF5,13785028,13821580,13785028,-1,ESF1,13714325,13784919,13784919,2.0
ENSG00000000419,ENSG00000124217,1,MOCS3,50958818,50963929,50958818,-1,DPM1,50934870,50958532,50958532,2.0
ENSG00000168634,ENSG00000182931,-1,WFDC10B,45684651,45705019,45705019,1,WFDC13,45702038,45708817,45702038,5.0
ENSG00000243509,ENSG00000258366,1,RTEL1,63658312,63696245,63658312,1,TNFRSF6B,63696652,63698684,63696652,1.0
ENSG00000101246,ENSG00000197114,1,ZGPAT,63708039,63736142,63708039,-1,ARFRP1,63698647,63707976,63707976,2.0
ENSG00000203896,ENSG00000197114,1,ZGPAT,63708039,63736142,63708039,1,LIME1,63736664,63739103,63736664,1.0
ENSG00000197114,ENSG00000101246,-1,ARFRP1,63698647,63707976,63707976,1,ZGPAT,63708039,63736142,63708039,2.0
ENSG00000125520,ENSG00000203896,1,LIME1,63736664,63739103,63736664,1,SLC2A4RG,63739776,63744050,63739776,1.0
ENSG00000198326,ENSG00000258713,1,C20orf141,2814987,2815830,2814987,1,TMEM239,2816364,2818062,2816364,1.0
ENSG00000132635,ENSG00000215305,1,VPS16,2840745,2866732,2840745,-1,PCED1A,2835314,2840655,2840655,2.0
ENSG00000215305,ENSG00000132635,-1,PCED1A,2835314,2840655,2840655,1,VPS16,2840745,2866732,2840745,2.0
ENSG00000149599,ENSG00000131044,1,TTLL9,31870634,31945000,31870634,-1,DUSP15,31861077,31870527,31870527,2.0
ENSG00000149474,ENSG00000232838,1,PET117,18137863,18143169,18137863,1,KAT14,18137863,18188035,18137863,3.0
ENSG00000182931,ENSG00000168634,1,WFDC13,45702038,45708817,45702038,-1,WFDC10B,45684651,45705019,45705019,5.0
ENSG00000215251,ENSG00000185019,-1,UBOX5,3107573,3159865,3159865,-1,FASTKD5,3146519,3159865,3159865,3.0
ENSG00000100983,ENSG00000078814,1,MYH7B,34955868,35002437,34955868,-1,GSS,34928432,34955806,34955806,2.0
ENSG00000124159,ENSG00000124232,1,RBPJL,45306840,45317824,45306840,-1,MATN4,45293450,45308299,45308299,5.0
ENSG00000132664,ENSG00000089091,-1,DZANK1,18383367,18467030,18467030,1,POLR3F,18467390,18484646,18467390,2.0
ENSG00000101473,ENSG00000132801,1,ZSWIM3,45857614,45879122,45857614,-1,ACOT8,45841721,45857392,45857392,2.0
ENSG00000180383,ENSG00000088320,1,REM1,31475288,31484895,31475288,-1,DEFB124,31465471,31475127,31475127,2.0
ENSG00000088320,ENSG00000180383,-1,DEFB124,31465471,31475127,31475127,1,REM1,31475288,31484895,31475288,2.0
ENSG00000089195,ENSG00000125885,1,MCM8,5950652,5998977,5950652,-1,TRMT6,5937228,5950533,5950533,2.0
ENSG00000125885,ENSG00000089195,-1,TRMT6,5937228,5950533,5950533,1,MCM8,5950652,5998977,5950652,2.0
ENSG00000089091,ENSG00000132664,1,POLR3F,18467390,18484646,18467390,-1,DZANK1,18383367,18467030,18467030,2.0
ENSG00000101898,ENSG00000101294,1,HM13,31514442,31569543,31514442,1,MCTS2,31547379,31548081,31547379,6.0
ENSG00000131044,ENSG00000149599,-1,DUSP15,31861077,31870527,31870527,1,TTLL9,31870634,31945000,31870634,2.0
ENSG00000171700,ENSG00000125510,1,OPRL1,64080082,64100633,64080082,-1,RGS19,64073181,64079518,64079518,2.0
ENSG00000171695,ENSG00000125510,1,OPRL1,64080082,64100633,64080082,-1,LKAAEAR1,64083376,64084398,64084398,5.0
ENSG00000198276,ENSG00000196700,-1,ZNF512B,63956704,63969930,63969930,-1,UCKL1,63939829,63956416,63956416,1.0
ENSG00000125848,ENSG00000172264,1,MACROD2,13995516,16053197,13995516,-1,FLRT3,14322985,14337612,14337612,5.0
ENSG00000101346,ENSG00000126003,-1,PLAGL2,32192504,32207743,32207743,1,POFUT1,32207880,32238658,32207880,2.0
ENSG00000064601,ENSG00000124257,-1,NEURL2,45888634,45891208,45891208,1,CTSA,45891335,45898820,45891335,2.0
ENSG00000053438,ENSG00000166619,-1,BLCAP,37517417,37527876,37527876,1,NNAT,37521250,37523690,37521250,5.0
ENSG00000125510,ENSG00000171700,-1,RGS19,64073181,64079518,64079518,1,OPRL1,64080082,64100633,64080082,2.0
ENSG00000078814,ENSG00000100983,-1,GSS,34928432,34955806,34955806,1,MYH7B,34955868,35002437,34955868,2.0
ENSG00000101407,ENSG00000101413,1,RPRD1B,38033746,38092364,38033746,-1,TTI1,37983021,38033456,38033456,2.0
ENSG00000101413,ENSG00000101407,-1,TTI1,37983021,38033456,38033456,1,RPRD1B,38033746,38092364,38033746,2.0
ENSG00000182858,ENSG00000184164,1,CRELD2,49918634,49927537,49918634,-1,ALG12,49900229,49918438,49918438,2.0
ENSG00000172404,ENSG00000196236,1,XPNPEP3,40857148,40932815,40857148,-1,DNAJB7,40859549,40862113,40862113,5.0
ENSG00000100380,ENSG00000196236,1,XPNPEP3,40857148,40932815,40857148,-1,ST13,40824535,40856639,40856639,2.0
ENSG00000196236,ENSG00000100380,-1,ST13,40824535,40856639,40856639,1,XPNPEP3,40857148,40932815,40857148,2.0
ENSG00000100104,ENSG00000100099,-1,HPS4,26450882,26483783,26483783,1,SRRD,26483877,26494658,26483877,2.0
ENSG00000100028,ENSG00000138867,-1,GUCD1,24540438,24555138,24555138,1,SNRPD3,24555999,24574971,24555999,2.0
ENSG00000133422,ENSG00000253352,1,TUG1,30969265,30979395,30969265,-1,MORC2,30925130,30968774,30968774,2.0
ENSG00000285025,ENSG00000100335,1,MIEF1,39502290,39518132,39502290,1,MIURF,39504231,39504443,39504231,6.0
ENSG00000184164,ENSG00000182858,-1,ALG12,49900229,49918438,49918438,1,CRELD2,49918634,49927537,49918634,2.0
ENSG00000100410,ENSG00000100412,1,ACO2,41469117,41528974,41469117,-1,PHF5A,41459717,41468692,41468692,2.0
ENSG00000100418,ENSG00000196419,1,XRCC6,41621295,41664041,41621295,-1,DESI1,41598028,41621043,41621043,2.0
ENSG00000196419,ENSG00000100418,-1,DESI1,41598028,41621043,41621043,1,XRCC6,41621295,41664041,41621295,2.0
ENSG00000100209,ENSG00000183765,-1,CHEK2,28687743,28741820,28741820,1,HSCB,28742039,28757510,28742039,2.0
ENSG00000093010,ENSG00000184470,-1,TXNRD2,19875522,19941818,19941818,1,COMT,19941772,19969975,19941772,2.0
ENSG00000100084,ENSG00000185608,1,MRPL40,19432545,19436075,19432545,-1,HIRA,19330698,19431733,19431733,2.0
ENSG00000070010,ENSG00000093009,1,CDC45,19479920,19520608,19479920,-1,UFD1,19449911,19479193,19479193,2.0
ENSG00000093009,ENSG00000070010,-1,UFD1,19449911,19479193,19479193,1,CDC45,19479920,19520608,19479920,2.0
ENSG00000203618,ENSG00000184702,1,SEPTIN5,19714503,19723319,19714503,1,GP1BB,19723539,19724771,19723539,1.0
ENSG00000185838,ENSG00000215012,-1,RTL10,19846146,19854874,19854874,-1,GNB1L,19783223,19854874,19854874,3.0
ENSG00000184470,ENSG00000093010,1,COMT,19941772,19969975,19941772,-1,TXNRD2,19875522,19941818,19941818,2.0
ENSG00000128159,ENSG00000100429,-1,HDAC10,50245183,50251265,50251265,-1,TUBGCP6,50217694,50245023,50245023,1.0
ENSG00000183066,ENSG00000100167,1,SEPTIN3,41969443,41998221,41969443,1,WBP2NL,41998788,42028475,41998788,1.0
ENSG00000138867,ENSG00000100028,1,SNRPD3,24555999,24574971,24555999,-1,GUCD1,24540438,24555138,24555138,2.0
ENSG00000128309,ENSG00000128311,-1,TST,37010865,37019447,37019447,1,MPST,37019742,37029815,37019742,2.0
ENSG00000128346,ENSG00000100142,1,POLR2F,37953699,37969312,37953699,-1,C22orf23,37943050,37953601,37953601,2.0
ENSG00000100142,ENSG00000128346,-1,C22orf23,37943050,37953601,37953601,1,POLR2F,37953699,37969312,37953699,2.0
ENSG00000128298,ENSG00000184381,-1,PLA2G6,38111495,38181830,38181830,-1,BAIAP2L2,38084900,38110684,38110684,1.0
ENSG00000100263,ENSG00000182944,1,EWSR1,29268268,29300521,29268268,-1,RHBDD3,29259872,29267981,29267981,2.0
ENSG00000100319,ENSG00000184076,1,UQCR10,29767369,29770413,29767369,-1,ZMAT5,29730956,29767007,29767007,2.0
ENSG00000184076,ENSG00000100319,-1,ZMAT5,29730956,29767007,29767007,1,UQCR10,29767369,29770413,29767369,2.0
ENSG00000099995,ENSG00000187860,1,CCDC157,30357007,30378673,30357007,-1,SF3A1,30331988,30356894,30356894,2.0
ENSG00000242114,ENSG00000100003,1,SEC14L2,30397018,30425303,30397018,1,MTFP1,30425768,30429054,30425768,1.0
ENSG00000099958,ENSG00000099956,1,SMARCB1,23786966,23838009,23786966,-1,DERL3,23834503,23839006,23839006,5.0
ENSG00000206203,ENSG00000100056,-1,ESS2,19130279,19144651,19144651,1,TSSK2,19131308,19132622,19131308,5.0
ENSG00000100075,ENSG00000070371,-1,CLTCL1,19179473,19291719,19291719,-1,SLC25A1,19175581,19178736,19178736,1.0
ENSG00000128266,ENSG00000100218,-1,RSPH14,23059415,23141990,23141990,1,GNAZ,23070519,23125032,23070519,5.0
ENSG00000100116,ENSG00000189060,1,H1-0,37805229,37807432,37805229,1,GCAT,37807934,37816897,37807934,1.0
ENSG00000100412,ENSG00000100410,-1,PHF5A,41459717,41468692,41468692,1,ACO2,41469117,41528974,41469117,2.0
ENSG00000185608,ENSG00000100084,-1,HIRA,19330698,19431733,19431733,1,MRPL40,19432545,19436075,19432545,2.0
ENSG00000243811,ENSG00000244509,1,APOBEC3C,39014257,39020352,39014257,1,APOBEC3D,39021127,39033277,39021127,1.0
ENSG00000099937,ENSG00000241973,-1,PI4KA,20707691,20858811,20858811,1,SERPIND1,20774113,20787720,20774113,5.0
ENSG00000099940,ENSG00000241973,-1,PI4KA,20707691,20858811,20858811,1,SNAP29,20859007,20891214,20859007,2.0
ENSG00000100258,ENSG00000025770,1,NCAPH2,50508224,50524780,50508224,-1,LMF2,50502949,50507702,50507702,2.0
ENSG00000284194,ENSG00000025770,1,NCAPH2,50508224,50524780,50508224,-1,SCO2,50523568,50525598,50525598,5.0
ENSG00000284194,ENSG00000025708,-1,TYMP,50525752,50530012,50530012,-1,SCO2,50523568,50525598,50525598,1.0
ENSG00000025770,ENSG00000100258,-1,LMF2,50502949,50507702,50507702,1,NCAPH2,50508224,50524780,50508224,2.0
ENSG00000025708,ENSG00000177989,-1,ODF3B,50530426,50532498,50532498,-1,TYMP,50525752,50530012,50530012,1.0
ENSG00000205560,ENSG00000100288,-1,CHKB,50578963,50582849,50582849,-1,CPT1B,50568861,50578427,50578427,1.0
ENSG00000184949,ENSG00000100211,1,CBY1,38656638,38673850,38656638,-1,FAM227A,38578118,38656392,38656392,2.0
