Selected Gene,Selected Gene name,Selected Strand,Selected TSS,Overlapping Gene,Overlapping Gene name,Overlapping Strand,Overlapping TSS
ENSG00000100104,SRRD,1,26483877,ENSG00000100099,HPS4,-1,26483783
ENSG00000100028,SNRPD3,1,24555999,ENSG00000138867,GUCD1,-1,24555138
ENSG00000133422,MORC2,-1,30968774,ENSG00000253352,TUG1,1,30969265
ENSG00000184164,CRELD2,1,49918634,ENSG00000182858,ALG12,-1,49918438
ENSG00000100410,PHF5A,-1,41468692,ENSG00000100412,ACO2,1,41469117
ENSG00000100418,DESI1,-1,41621043,ENSG00000196419,XRCC6,1,41621295
ENSG00000196419,XRCC6,1,41621295,ENSG00000100418,DESI1,-1,41621043
ENSG00000100209,HSCB,1,28742039,ENSG00000183765,CHEK2,-1,28741820
ENSG00000093010,COMT,1,19941772,ENSG00000184470,TXNRD2,-1,19941818
ENSG00000100084,HIRA,-1,19431733,ENSG00000185608,MRPL40,1,19432545
ENSG00000070010,UFD1,-1,19479193,ENSG00000093009,CDC45,1,19479920
ENSG00000093009,CDC45,1,19479920,ENSG00000070010,UFD1,-1,19479193
ENSG00000185838,GNB1L,-1,19854874,ENSG00000215012,RTL10,-1,19854874
ENSG00000184470,TXNRD2,-1,19941818,ENSG00000093010,COMT,1,19941772
ENSG00000138867,GUCD1,-1,24555138,ENSG00000100028,SNRPD3,1,24555999
ENSG00000128309,MPST,1,37019742,ENSG00000128311,TST,-1,37019447
ENSG00000128346,C22orf23,-1,37953601,ENSG00000100142,POLR2F,1,37953699
ENSG00000100142,POLR2F,1,37953699,ENSG00000128346,C22orf23,-1,37953601
ENSG00000100263,RHBDD3,-1,29267981,ENSG00000182944,EWSR1,1,29268268
ENSG00000100319,ZMAT5,-1,29767007,ENSG00000184076,UQCR10,1,29767369
ENSG00000184076,UQCR10,1,29767369,ENSG00000100319,ZMAT5,-1,29767007
ENSG00000099995,SF3A1,-1,30356894,ENSG00000187860,CCDC157,1,30357007
ENSG00000100412,ACO2,1,41469117,ENSG00000100410,PHF5A,-1,41468692
ENSG00000185608,MRPL40,1,19432545,ENSG00000100084,HIRA,-1,19431733
ENSG00000099940,SNAP29,1,20859007,ENSG00000241973,PI4KA,-1,20858811
ENSG00000100258,LMF2,-1,50507702,ENSG00000025770,NCAPH2,1,50508224
ENSG00000025770,NCAPH2,1,50508224,ENSG00000100258,LMF2,-1,50507702
ENSG00000184949,FAM227A,-1,38656392,ENSG00000100211,CBY1,1,38656638
ENSG00000187860,CCDC157,1,30357007,ENSG00000099995,SF3A1,-1,30356894
ENSG00000100211,CBY1,1,38656638,ENSG00000184949,FAM227A,-1,38656392
ENSG00000241973,PI4KA,-1,20858811,ENSG00000099940,SNAP29,1,20859007
ENSG00000253352,TUG1,1,30969265,ENSG00000133422,MORC2,-1,30968774
ENSG00000100099,HPS4,-1,26483783,ENSG00000100104,SRRD,1,26483877
ENSG00000128311,TST,-1,37019447,ENSG00000128309,MPST,1,37019742
ENSG00000182944,EWSR1,1,29268268,ENSG00000100263,RHBDD3,-1,29267981
ENSG00000077935,SMC1B,-1,45413599,ENSG00000128408,RIBC2,1,45413693
ENSG00000128408,RIBC2,1,45413693,ENSG00000077935,SMC1B,-1,45413599
ENSG00000215012,RTL10,-1,19854874,ENSG00000185838,GNB1L,-1,19854874
ENSG00000183765,CHEK2,-1,28741820,ENSG00000100209,HSCB,1,28742039
ENSG00000087301,TXNDC16,-1,52552505,ENSG00000180998,GPR137C,1,52552836
ENSG00000180998,GPR137C,1,52552836,ENSG00000087301,TXNDC16,-1,52552505
ENSG00000126790,L3HYPDH,-1,59484408,ENSG00000050130,JKAMP,1,59484517
ENSG00000050130,JKAMP,1,59484517,ENSG00000126790,L3HYPDH,-1,59484408
ENSG00000180008,SOCS4,1,55027236,ENSG00000198554,WDHD1,-1,55027099
ENSG00000165898,ISCA2,1,74493765,ENSG00000119655,NPC2,-1,74493305
ENSG00000198718,TOGARAM1,1,44962190,ENSG00000179454,KLHL28,-1,44961947
ENSG00000053770,AP5M1,1,57268971,ENSG00000070367,EXOC5,-1,57268905
ENSG00000070367,EXOC5,-1,57268905,ENSG00000053770,AP5M1,1,57268971
ENSG00000196663,TECPR2,1,102362941,ENSG00000100865,CINP,-1,102362890
ENSG00000066739,ATG2B,-1,96363341,ENSG00000100744,GSKIP,1,96363526
ENSG00000090061,CCNK,1,99481409,ENSG00000183576,SETD3,-1,99480859
ENSG00000183576,SETD3,-1,99480859,ENSG00000090061,CCNK,1,99481409
ENSG00000100865,CINP,-1,102362890,ENSG00000196663,TECPR2,1,102362941
ENSG00000100744,GSKIP,1,96363526,ENSG00000066739,ATG2B,-1,96363341
ENSG00000179933,C14orf119,1,23095505,ENSG00000100813,ACIN1,-1,23095136
ENSG00000165943,MOAP1,-1,93184897,ENSG00000153485,LYSET,1,93185317
ENSG00000153485,LYSET,1,93185317,ENSG00000165943,MOAP1,-1,93184897
ENSG00000170270,GON7,-1,93207065,ENSG00000012963,UBR7,1,93207256
ENSG00000012963,UBR7,1,93207256,ENSG00000170270,GON7,-1,93207065
ENSG00000100601,ALKBH1,-1,77708023,ENSG00000119705,SLIRP,1,77708103
ENSG00000119705,SLIRP,1,77708103,ENSG00000100601,ALKBH1,-1,77708023
ENSG00000198554,WDHD1,-1,55027099,ENSG00000180008,SOCS4,1,55027236
ENSG00000119655,NPC2,-1,74493305,ENSG00000165898,ISCA2,1,74493765
ENSG00000179454,KLHL28,-1,44961947,ENSG00000198718,TOGARAM1,1,44962190
ENSG00000092094,OSGEP,-1,20454812,ENSG00000100823,APEX1,1,20455226
ENSG00000100823,APEX1,1,20455226,ENSG00000092094,OSGEP,-1,20454812
ENSG00000126215,XRCC3,-1,103715451,ENSG00000100711,ZFYVE21,1,103715810
ENSG00000129535,NRL,-1,24114949,ENSG00000100897,DCAF11,1,24114777
ENSG00000100897,DCAF11,1,24114777,ENSG00000129535,NRL,-1,24114949
ENSG00000100911,PSME2,-1,24146610,ENSG00000092098,RNF31,1,24147498
ENSG00000100938,GMPR2,1,24232929,ENSG00000129559,NEDD8,-1,24232367
ENSG00000129559,NEDD8,-1,24232367,ENSG00000100938,GMPR2,1,24232929
ENSG00000157379,DHRS1,-1,24299780,ENSG00000196943,NOP9,1,24299850
ENSG00000196943,NOP9,1,24299850,ENSG00000157379,DHRS1,-1,24299780
ENSG00000129472,RAB2B,-1,21476959,ENSG00000092203,TOX4,1,21477195
ENSG00000100575,TIMM9,-1,58427531,ENSG00000100578,KIAA0586,1,58427719
ENSG00000100578,KIAA0586,1,58427719,ENSG00000100575,TIMM9,-1,58427531
ENSG00000100711,ZFYVE21,1,103715810,ENSG00000126215,XRCC3,-1,103715451
ENSG00000134001,EIF2S1,1,67360328,ENSG00000100554,ATP6V1D,-1,67359804
ENSG00000119685,TTLL5,1,75661246,ENSG00000133935,ERG28,-1,75660876
ENSG00000133935,ERG28,-1,75660876,ENSG00000119685,TTLL5,1,75661246
ENSG00000100554,ATP6V1D,-1,67359804,ENSG00000134001,EIF2S1,1,67360328
ENSG00000139899,CBLN3,-1,24429668,ENSG00000100441,KHNYN,1,24429954
ENSG00000100441,KHNYN,1,24429954,ENSG00000139899,CBLN3,-1,24429668
ENSG00000183648,NDUFB1,-1,92121706,ENSG00000165934,CPSF2,1,92121969
ENSG00000165934,CPSF2,1,92121969,ENSG00000183648,NDUFB1,-1,92121706
ENSG00000092203,TOX4,1,21477195,ENSG00000129472,RAB2B,-1,21476959
ENSG00000087299,L2HGDH,-1,50312229,ENSG00000125375,DMAC2L,1,50312324
ENSG00000119682,AREL1,-1,74713080,ENSG00000119616,FCF1,1,74713144
ENSG00000119616,FCF1,1,74713144,ENSG00000119682,AREL1,-1,74713080
ENSG00000100813,ACIN1,-1,23095136,ENSG00000179933,C14orf119,1,23095505
ENSG00000100577,GSTZ1,1,77321036,ENSG00000009830,POMT2,-1,77320883
ENSG00000100580,TMED8,-1,77377094,ENSG00000100583,SAMD15,1,77377379
ENSG00000009830,POMT2,-1,77320883,ENSG00000100577,GSTZ1,1,77321036
ENSG00000196792,STRN3,-1,31026379,ENSG00000100478,AP4S1,1,31025649
ENSG00000100478,AP4S1,1,31025649,ENSG00000196792,STRN3,-1,31026379
ENSG00000126804,ZBTB1,1,64504770,ENSG00000089775,ZBTB25,-1,64503838
ENSG00000165948,IFI27L1,1,94081310,ENSG00000089737,DDX24,-1,94081202
ENSG00000256053,COA8,1,103562960,ENSG00000166170,BAG5,-1,103562657
ENSG00000125375,DMAC2L,1,50312324,ENSG00000087299,L2HGDH,-1,50312229
ENSG00000156050,FAM161B,-1,73950094,ENSG00000119723,COQ6,1,73950302
ENSG00000119723,COQ6,1,73950302,ENSG00000156050,FAM161B,-1,73950094
ENSG00000187097,ENTPD5,-1,74019288,ENSG00000119636,BBOF1,1,74019349
ENSG00000119636,BBOF1,1,74019349,ENSG00000187097,ENTPD5,-1,74019288
ENSG00000119711,ALDH6A1,-1,74084453,ENSG00000205659,LIN52,1,74084956
ENSG00000205659,LIN52,1,74084956,ENSG00000119711,ALDH6A1,-1,74084453
ENSG00000092020,PPP2R3C,-1,35121990,ENSG00000100890,PRORP,1,35122552
ENSG00000100890,PRORP,1,35122552,ENSG00000092020,PPP2R3C,-1,35121990
ENSG00000151445,VIPAS39,-1,77457601,ENSG00000100591,AHSA1,1,77458093
ENSG00000100591,AHSA1,1,77458093,ENSG00000151445,VIPAS39,-1,77457601
ENSG00000100632,ERH,-1,69398299,ENSG00000029364,SLC39A9,1,69398692
ENSG00000029364,SLC39A9,1,69398692,ENSG00000100632,ERH,-1,69398299
ENSG00000100583,SAMD15,1,77377379,ENSG00000100580,TMED8,-1,77377094
ENSG00000166170,BAG5,-1,103562657,ENSG00000256053,COA8,1,103562960
ENSG00000129514,FOXA1,-1,37595249,ENSG00000139865,TTC6,1,37595629
ENSG00000139865,TTC6,1,37595629,ENSG00000129514,FOXA1,-1,37595249
ENSG00000089775,ZBTB25,-1,64503838,ENSG00000126804,ZBTB1,1,64504770
ENSG00000092098,RNF31,1,24147498,ENSG00000100911,PSME2,-1,24146610
ENSG00000165502,RPL36AL,-1,49620626,ENSG00000168282,MGAT2,1,49620799
ENSG00000168282,MGAT2,1,49620799,ENSG00000165502,RPL36AL,-1,49620626
ENSG00000126814,TRMT5,-1,60981079,ENSG00000139974,SLC38A6,1,60981245
ENSG00000139974,SLC38A6,1,60981245,ENSG00000126814,TRMT5,-1,60981079
ENSG00000089737,DDX24,-1,94081202,ENSG00000165948,IFI27L1,1,94081310
ENSG00000169084,DHRSX,-1,2500976,ENSG00000214717,ZBED1,-1,2500976
ENSG00000131171,SH3BGRL,1,81202102,ENSG00000198157,HMGN5,-1,81201913
ENSG00000101844,ATG4A,1,108091778,ENSG00000101843,PSMD10,-1,108091542
ENSG00000101843,PSMD10,-1,108091542,ENSG00000101844,ATG4A,1,108091778
ENSG00000182712,CMC4,-1,155071136,ENSG00000214827,MTCP1,-1,155071136
ENSG00000182712,CMC4,-1,155071136,ENSG00000185515,BRCC3,1,155071508
ENSG00000185515,BRCC3,1,155071508,ENSG00000214827,MTCP1,-1,155071136
ENSG00000185515,BRCC3,1,155071508,ENSG00000182712,CMC4,-1,155071136
ENSG00000214827,MTCP1,-1,155071136,ENSG00000185515,BRCC3,1,155071508
ENSG00000214827,MTCP1,-1,155071136,ENSG00000182712,CMC4,-1,155071136
ENSG00000198157,HMGN5,-1,81201913,ENSG00000131171,SH3BGRL,1,81202102
ENSG00000186310,NAP1L3,-1,93673578,ENSG00000179083,FAM133A,1,93674206
ENSG00000185973,TMLHE,-1,155612952,ENSG00000168939,SPRY3,1,155612586
ENSG00000147180,ZNF711,1,85243991,ENSG00000184788,SATL1,-1,85243779
ENSG00000130021,PUDP,-1,7148153,ENSG00000101846,STS,1,7147712
ENSG00000158423,RIBC1,1,53422873,ENSG00000072501,SMC1A,-1,53422654
ENSG00000185825,BCAP31,-1,153724387,ENSG00000101986,ABCD1,1,153724856
ENSG00000101986,ABCD1,1,153724856,ENSG00000185825,BCAP31,-1,153724387
ENSG00000180879,SSR4,1,153794668,ENSG00000067829,IDH3G,-1,153794375
ENSG00000172534,HCFC1,-1,153971818,ENSG00000177854,TMEM187,1,153972754
ENSG00000177854,TMEM187,1,153972754,ENSG00000172534,HCFC1,-1,153971818
ENSG00000126945,HNRNPH2,1,101408222,ENSG00000102393,GLA,-1,101407925
ENSG00000184788,SATL1,-1,85243779,ENSG00000147180,ZNF711,1,85243991
ENSG00000072501,SMC1A,-1,53422654,ENSG00000158423,RIBC1,1,53422873
ENSG00000125352,RNF113A,-1,119871733,ENSG00000125356,NDUFA1,1,119871832
ENSG00000125356,NDUFA1,1,119871832,ENSG00000125352,RNF113A,-1,119871733
ENSG00000046651,OFD1,1,13734748,ENSG00000196459,TRAPPC2,-1,13734620
ENSG00000186376,ZNF75D,-1,135344109,ENSG00000173275,ZNF449,1,135344796
ENSG00000173275,ZNF449,1,135344796,ENSG00000186376,ZNF75D,-1,135344109
ENSG00000288706,,1,23783278,ENSG00000130066,SAT1,1,23783173
ENSG00000184831,APOO,-1,23907938,ENSG00000165182,CXorf58,1,23908006
ENSG00000165182,CXorf58,1,23908006,ENSG00000184831,APOO,-1,23907938
ENSG00000196459,TRAPPC2,-1,13734620,ENSG00000046651,OFD1,1,13734748
ENSG00000130066,SAT1,1,23783173,ENSG00000288706,,1,23783278
ENSG00000214717,ZBED1,-1,2500976,ENSG00000169084,DHRSX,-1,2500976
ENSG00000269586,CT45A10,-1,135893444,ENSG00000181433,SAGE1,1,135893716
ENSG00000179083,FAM133A,1,93674206,ENSG00000186310,NAP1L3,-1,93673578
ENSG00000198930,CSAG1,-1,152733721,ENSG00000213401,MAGEA12,1,152733757
ENSG00000213401,MAGEA12,1,152733757,ENSG00000198930,CSAG1,-1,152733721
ENSG00000147400,CETN2,-1,152830757,ENSG00000147383,NSDHL,1,152831063
ENSG00000147383,NSDHL,1,152831063,ENSG00000147400,CETN2,-1,152830757
ENSG00000067829,IDH3G,-1,153794375,ENSG00000180879,SSR4,1,153794668
ENSG00000101846,STS,1,7147712,ENSG00000130021,PUDP,-1,7148153
ENSG00000182872,RBM10,1,47145221,ENSG00000147123,NDUFB11,-1,47144702
ENSG00000147123,NDUFB11,-1,47144702,ENSG00000182872,RBM10,1,47145221
ENSG00000198088,NUP62CL,-1,107206433,ENSG00000080572,DNAAF6,1,107206611
ENSG00000080572,DNAAF6,1,107206611,ENSG00000198088,NUP62CL,-1,107206433
ENSG00000102103,PQBP1,1,48897930,ENSG00000126768,TIMM17B,-1,48897768
ENSG00000168939,SPRY3,1,155612586,ENSG00000185973,TMLHE,-1,155612952
ENSG00000090889,KIF4A,1,70290104,ENSG00000120509,PDZD11,-1,70289927
ENSG00000120509,PDZD11,-1,70289927,ENSG00000090889,KIF4A,1,70290104
ENSG00000072315,TRPC5,-1,112082776,ENSG00000187823,RTL4,1,112083016
ENSG00000187823,RTL4,1,112083016,ENSG00000072315,TRPC5,-1,112082776
ENSG00000126768,TIMM17B,-1,48897768,ENSG00000102103,PQBP1,1,48897930
ENSG00000130150,MOSPD2,1,14873421,ENSG00000181544,FANCB,-1,14873069
ENSG00000181544,FANCB,-1,14873069,ENSG00000130150,MOSPD2,1,14873421
ENSG00000269335,IKBKG,1,154547620,ENSG00000160211,G6PD,-1,154546846
ENSG00000160211,G6PD,-1,154546846,ENSG00000269335,IKBKG,1,154547620
ENSG00000278057,TEX28,-1,154295124,ENSG00000007350,TKTL1,1,154295795
ENSG00000007350,TKTL1,1,154295795,ENSG00000278057,TEX28,-1,154295124
ENSG00000102393,GLA,-1,101407925,ENSG00000126945,HNRNPH2,1,101408222
ENSG00000181433,SAGE1,1,135893716,ENSG00000269586,CT45A10,-1,135893444
ENSG00000198791,CNOT7,-1,17246857,ENSG00000155975,VPS37A,1,17246958
ENSG00000155975,VPS37A,1,17246958,ENSG00000198791,CNOT7,-1,17246857
ENSG00000147421,HMBOX1,1,28890395,ENSG00000104299,INTS9,-1,28889969
ENSG00000092964,DPYSL2,1,26514031,ENSG00000240694,PNMA2,-1,26513872
ENSG00000240694,PNMA2,-1,26513872,ENSG00000092964,DPYSL2,1,26514031
ENSG00000221947,XKR9,1,70669339,ENSG00000147592,LACTB2,-1,70669185
ENSG00000104356,POP1,1,98117293,ENSG00000132541,RIDA,-1,98117171
ENSG00000165392,WRN,1,31033810,ENSG00000172733,PURG,-1,31033356
ENSG00000132541,RIDA,-1,98117171,ENSG00000104356,POP1,1,98117293
ENSG00000156471,PTDSS1,1,96261902,ENSG00000156469,MTERF3,-1,96261610
ENSG00000172167,MTBP,1,120445419,ENSG00000172172,MRPL13,-1,120445150
ENSG00000156469,MTERF3,-1,96261610,ENSG00000156471,PTDSS1,1,96261902
ENSG00000172172,MRPL13,-1,120445150,ENSG00000172167,MTBP,1,120445419
ENSG00000121039,RDH10,1,73294602,ENSG00000147604,RPL7,-1,73293633
ENSG00000164961,WASHC5,-1,125091792,ENSG00000156831,NSMCE2,1,125091860
ENSG00000147592,LACTB2,-1,70669185,ENSG00000221947,XKR9,1,70669339
ENSG00000147604,RPL7,-1,73293633,ENSG00000121039,RDH10,1,73294602
ENSG00000156831,NSMCE2,1,125091860,ENSG00000164961,WASHC5,-1,125091792
ENSG00000185122,HSF1,1,144291604,ENSG00000261236,BOP1,-1,144291438
ENSG00000182325,FBXL6,-1,144358472,ENSG00000185803,SLC52A2,1,144358613
ENSG00000261236,BOP1,-1,144291438,ENSG00000185122,HSF1,1,144291604
ENSG00000185803,SLC52A2,1,144358613,ENSG00000182325,FBXL6,-1,144358472
ENSG00000181690,PLAG1,-1,56211273,ENSG00000170791,CHCHD7,1,56211789
ENSG00000170791,CHCHD7,1,56211789,ENSG00000181690,PLAG1,-1,56211273
ENSG00000180921,FAM83H,-1,143733779,ENSG00000203499,IQANK1,1,143734139
ENSG00000179526,SHARPIN,-1,144103773,ENSG00000179632,MAF1,1,144104461
ENSG00000179632,MAF1,1,144104461,ENSG00000179526,SHARPIN,-1,144103773
